house_id,price_act,price_first,advertiser,type,nbhood,street,st_number,sq_m,bedrooms,bathrooms,const_year,floor,lift,balcony,air_con,ft_wardrobes,terrace,exterior,heating
94283285,750000.0,750000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,262.0,6.0,4.0,1973.0,10.0,1,1,1,1,1,1,individual
89113690,575000.0,575000.0,Professional advertiser,duplex ,mentidero - teatro falla - alameda,unknown,,135.0,3.0,3.0,1998.0,2.0,0,0,1,1,1,1,individual
95291210,320000.0,320000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,190.0,8.0,3.0,1888.0,1.0,0,0,0,0,0,1,no
96746079,390000.0,390000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,131.0,3.0,2.0,1796.0,3.0,1,1,1,1,0,1,no
96622572,720000.0,720000.0,Professional advertiser,flat / apartment ,playa stª mª del mar,unknown,,168.0,3.0,2.0,,2.0,1,0,0,1,0,1,individual
94971680,327500.0,327500.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,198.0,4.0,2.0,2003.0,1.0,1,1,1,1,0,1,individual
84849222,375000.0,375000.0,Professional advertiser,flat / apartment ,playa stª mª del mar,unknown,,138.0,4.0,2.0,1982.0,1.0,1,0,0,1,1,1,individual
84635808,615000.0,615000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,296.0,7.0,3.0,1888.0,2.0,0,0,0,1,0,1,no
95854107,170000.0,170000.0,Professional advertiser,flat / apartment ,la caleta - la vina,calle obispo urquinaona,,117.0,2.0,2.0,2021.0,0.0,1,1,1,1,0,0,no
93809726,355000.0,355000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,128.0,3.0,2.0,1969.0,2.0,1,0,0,0,1,0,no
90828765,165000.0,165000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,50.0,1.0,1.0,2009.0,1.0,1,1,1,1,0,1,central
85504149,425000.0,425000.0,Professional advertiser,duplex ,centro historico - plaza espana,unknown,,142.0,4.0,3.0,,3.0,1,0,1,0,1,1,no
96937615,160000.0,160000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,71.0,3.0,1.0,1965.0,2.0,0,0,0,1,0,0,no
96937735,135000.0,135000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,paseo de la alameda apodaca nn,,75.0,3.0,1.0,,2.0,0,1,0,0,0,1,no
96936616,155693.0,155693.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,calle navas,,82.0,3.0,1.0,,0.0,0,0,0,0,0,0,no
96506475,255000.0,255000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,110.0,2.0,1.0,1888.0,3.0,0,0,0,0,0,1,no
96019364,265000.0,265000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,103.0,3.0,1.0,,1.0,1,0,0,1,1,1,no
87441736,310000.0,310000.0,Professional advertiser,duplex ,centro historico - plaza espana,unknown,,110.0,2.0,2.0,,4.0,0,1,1,1,1,1,no
94722449,360000.0,360000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,150.0,4.0,2.0,,1.0,1,0,1,1,1,0,no
91166990,950000.0,950000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,200.0,3.0,2.0,,13.0,1,0,1,1,1,1,no
96759800,330000.0,330000.0,Professional advertiser,duplex ,zona san jose - varela,unknown,,117.0,4.0,2.0,,1.0,0,0,0,1,0,1,no
96942354,185000.0,185000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,60.0,1.0,1.0,1997.0,,1,0,0,1,0,1,no
96130057,360000.0,360000.0,Professional advertiser,flat / apartment ,zona san jose - varela,unknown,,139.0,4.0,2.0,,3.0,1,0,1,1,1,0,no
96505732,399000.0,399000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,143.0,4.0,3.0,,2.0,0,1,0,0,0,1,no
95336377,670000.0,670000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,185.0,4.0,3.0,,5.0,1,0,1,1,1,1,no
94977896,360000.0,360000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,149.0,4.0,2.0,,1.0,1,0,1,1,0,1,no
94452035,190000.0,190000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,155.0,4.0,2.0,,0.0,0,0,0,1,0,1,no
96936389,184685.0,184685.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,55.0,2.0,1.0,1995.0,1.0,1,0,0,0,0,0,no
96936404,199280.0,199280.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,59.0,2.0,1.0,1995.0,0.0,1,1,0,0,0,0,no
88567505,1300000.0,1300000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,450.0,7.0,9.0,2020.0,2.0,1,0,1,1,1,1,individual
87756256,365000.0,365000.0,Professional advertiser,flat / apartment ,playa stª mª del mar,unknown,,138.0,4.0,2.0,1982.0,1.0,1,0,0,1,1,1,individual
96005986,168000.0,168000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,60.0,2.0,1.0,,0.0,0,1,0,0,0,1,no
93295412,179000.0,179000.0,Professional advertiser,flat / apartment ,ayuntamiento - catedral,unknown,,80.0,3.0,1.0,1959.0,1.0,0,0,0,0,0,0,no
96925185,398750.0,398750.0,Professional advertiser,flat / apartment ,playa victoria,av. andalucia,,190.0,5.0,2.0,,7.0,1,0,0,1,1,1,no
96939616,198000.0,198000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,85.0,2.0,1.0,,1.0,0,1,0,0,0,1,no
96929116,400000.0,400000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,109.0,3.0,2.0,,5.0,1,0,0,1,0,1,no
96225661,100000.0,100000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,39.0,1.0,1.0,1995.0,0.0,0,0,0,1,0,0,no
96514656,104000.0,104000.0,Professional advertiser,penthouse ,la caleta - la vina,unknown,,37.0,1.0,1.0,1888.0,3.0,0,0,0,0,0,0,no
96928413,288000.0,288000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,90.0,3.0,1.0,1985.0,13.0,1,0,0,0,0,0,no
96928420,250000.0,250000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,113.0,4.0,2.0,1983.0,2.0,1,0,0,0,0,1,individual
96926657,200000.0,200000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,calle carraca,,70.0,2.0,1.0,1900.0,0.0,0,0,0,0,0,0,no
96935098,250000.0,250000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,60.0,1.0,1.0,1977.0,12.0,1,0,1,1,1,0,central
96941465,400000.0,400000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,109.0,3.0,2.0,,5.0,1,1,0,1,1,1,no
96933641,170000.0,170000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,60.0,2.0,1.0,,1.0,0,0,0,0,0,0,individual
96941175,325000.0,325000.0,Professional advertiser,penthouse ,la caleta - la vina,unknown,,105.0,2.0,2.0,,1.0,1,0,1,1,1,1,no
96920847,625000.0,625000.0,Private owner,penthouse ,centro historico - plaza espana,calle sacramento,16.0,156.0,3.0,1.0,,3.0,1,0,1,1,1,1,no
96921437,190000.0,190000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,calle manuel rances,,118.0,4.0,1.0,1888.0,3.0,0,0,0,1,0,1,no
90182247,699000.0,699000.0,Professional advertiser,flat / apartment ,playa victoria,calle fernandez ballesteros,,233.0,5.0,3.0,1976.0,1.0,1,0,1,1,1,1,no
96941495,220000.0,220000.0,Professional advertiser,flat / apartment ,cortadura - zona franca,unknown,,90.0,4.0,2.0,,1.0,0,0,0,0,0,0,no
96243461,365000.0,390000.0,Professional advertiser,flat / apartment ,zona laguna,unknown,,139.0,5.0,2.0,1980.0,0.0,1,0,1,1,0,1,no
96934215,170000.0,170000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,120.0,3.0,1.0,,1.0,0,1,0,0,0,1,no
96747437,495000.0,495000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,150.0,5.0,2.0,1968.0,3.0,1,0,0,1,1,1,no
96655860,520000.0,520000.0,Professional advertiser,flat / apartment ,playa victoria,unknown,,166.0,4.0,2.0,1964.0,5.0,1,0,1,1,1,1,no
96646966,165000.0,165000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,unknown,,88.0,3.0,2.0,1888.0,3.0,0,0,0,0,0,1,no
96926680,74000.0,74000.0,Professional advertiser,flat / apartment ,la caleta - la vina,calle barquillas de lope,,43.0,1.0,1.0,1995.0,0.0,0,0,0,0,0,0,no
96869562,412000.0,412000.0,Professional advertiser,flat / apartment ,la caleta - la vina,calle robles,,137.0,3.0,2.0,,,0,0,0,0,0,0,no
96797344,107000.0,107000.0,Professional advertiser,duplex ,mentidero - teatro falla - alameda,calle adolfo de castro,,62.0,1.0,1.0,,,0,0,0,0,0,0,no
96890396,280000.0,280000.0,Professional advertiser,flat / apartment ,zona laguna,unknown,,104.0,4.0,2.0,1971.0,5.0,1,0,0,1,1,1,no
90451803,189000.0,198000.0,Professional advertiser,flat / apartment ,centro historico - plaza espana,calle santiago,,86.0,2.0,1.0,1858.0,3.0,0,0,0,1,0,1,individual
95809864,475000.0,475000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,237.0,4.0,3.0,1967.0,2.0,1,0,0,1,0,1,no
95690468,860000.0,860000.0,Professional advertiser,penthouse ,centro historico - plaza espana,calle conde de o'reilly,4.0,120.0,2.0,3.0,2021.0,3.0,1,1,1,0,1,1,central
96936048,149000.0,149000.0,Professional advertiser,flat / apartment ,mentidero - teatro falla - alameda,unknown,,70.0,2.0,1.0,2010.0,0.0,0,0,1,0,0,1,no
96896779,330000.0,330000.0,Professional advertiser,flat / apartment ,la caleta - la vina,unknown,,169.0,7.0,3.0,1968.0,1.0,1,0,0,0,1,1,no
93866195,299000.0,299000.0,Professional advertiser,duplex ,centro historico - plaza espana,calle ancha,19.0,77.0,3.0,2.0,,,1,0,0,0,1,0,no
96399037,289000.0,289000.0,Professional advertiser,duplex ,centro historico - plaza espana,calle ancha,19.0,74.0,2.0,2.0,,,1,0,0,0,1,0,no
96399023,190000.0,190000.0,Professional advertiser,studio flat ,centro historico - plaza espana,calle ancha,19.0,54.0,1.0,1.0,,2.0,1,0,0,0,1,0,no
96399095,189000.0,189000.0,Professional advertiser,studio flat ,centro historico - plaza espana,calle ancha,19.0,72.0,1.0,1.0,,,1,0,0,0,0,0,no
96922183,400000.0,400000.0,Private owner,flat / apartment ,cortadura - zona franca,paseo maritimo,29.0,109.0,3.0,2.0,,5.0,1,1,0,1,0,1,no
96809710,470000.0,470000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,164.0,4.0,2.0,1967.0,4.0,1,0,0,1,1,1,no
96938947,125000.0,125000.0,Professional advertiser,flat / apartment ,la paz - segunda aguada - loreto,unknown,,67.0,3.0,1.0,,0.0,1,0,0,0,0,1,no
96920978,350000.0,350000.0,Private owner,flat / apartment ,centro historico - plaza espana,calle sacramento,16.0,105.0,3.0,2.0,,1.0,1,1,1,1,0,1,no
96882088,680000.0,680000.0,Professional advertiser,flat / apartment ,zona bahia blanca,unknown,,230.0,5.0,3.0,,7.0,1,0,1,1,1,1,no
93457918,200000.0,206000.0,Professional advertiser,penthouse ,la paz - segunda aguada - loreto,calle carraca,,60.0,2.0,1.0,2008.0,3.0,1,0,0,1,1,1,no
